SessionID,Time,ItemID
10,1396597454.59,214820942
10,1396597520.245,214826810
15,1396685668.645,214555903
15,1396685749.2,214547255
15,1396685995.455,214547255
20,1396536145.879,214829282
20,1396536163.585,214718203
20,1396536280.147,214829282
20,1396536309.199,214819552
25,1396841539.078,214836761
25,1396841564.139,214839313
25,1396841567.525,214839313
25,1396841568.647,214839313
25,1396841577.321,214839313
25,1396841579.91,214839313
30,1396782679.232,214820201
30,1396782680.95,214820201
35,1396511984.792,214826816
35,1396512141.032,214820195
35,1396513021.694,214642372
40,1396714622.341,214826955
40,1396714789.619,214826955
45,1396414372.962,214826953
45,1396414414.855,214826953
50,1396350595.727,214821022
50,1396350626.034,214718167
50,1396350658.275,214820261
50,1396350700.137,214821017
50,1396350782.297,214718167
50,1396350809.169,214821015
50,1396350826.202,214718169
50,1396350856.642,214821017
50,1396350866.935,214718160
50,1396350902.408,214718169
50,1396350903.514,214821015
50,1396350914.677,214718167
50,1396350918.844,214820261
55,1396898770.438,214826829
55,1396898857.767,214668590
55,1396898947.462,214826621
55,1396898956.304,214826615
55,1396898984.261,214711280
55,1396899065.145,214840775
70,1396701695.624,214827022
70,1396701741.261,214712272
70,1396701897.698,214827022
70,1396702726.219,214820252
70,1396702796.973,214820252
65,1396368830.285,214695425
65,1396368852.282,214738453
85,1396807440.217,214706452
85,1396810985.102,214706452
80,1396506348.642,214532070
80,1396506417.024,214532070
80,1396506524.415,214821277
95,1396813502.679,214826810
95,1396813543.007,214826627
95,1396813559.376,214826623
95,1396813766.318,214826925
95,1396813900.031,214746427
95,1396813915.829,214753515
90,1396774185.772,214684513
90,1396777653.11,214684513
90,1396777695.678,214684513
90,1396777903.43,214684513
90,1396777924.786,214684513
100,1396470319.847,214717003
100,1396470772.803,214716992
110,1396717968.6,214508563
110,1396718048.3,214639612
105,1396689426.9,214718160
105,1396689499.003,214561475
115,1396859729.217,214826705
115,1396859779.305,214826816
115,1396859891.875,214826816
125,1396643361.923,214537775
125,1396643365.085,214687685
120,1396724340.041,214685784
120,1396724700.177,214685784
140,1396678312.579,214555492
140,1396678417.052,214821397
130,1396615574.67,214601805
130,1396615644.601,214664767
135,1396727473.266,214636505
135,1396727634.891,214636505
135,1396727683.266,214664767
135,1396727701.163,214636505
135,1396727904.567,214636505
155,1396819455.235,214826927
155,1396819538.389,214826934
145,1396623588.748,214717877
145,1396623607.314,214826615
145,1396623741.161,214559563
145,1396623794.94,214826612
145,1396623815.409,214826617
145,1396623905.255,214819781
145,1396623935.648,214676019
150,1396607289.627,214821022
150,1396607313.886,214832557
150,1396607325.503,214832559
150,1396607341.032,214718169
175,1396899917.084,214840378
175,1396900022.005,214840378
185,1396608642.481,214554234
185,1396608952.15,214554234
190,1396636870.124,214687685
190,1396636915.958,214546102
180,1396468896.458,214587384
180,1396468949.14,214539262
205,1396808007.516,214516768
205,1396808196.98,214826627
205,1396808259.311,214826955
200,1396862167.351,214820240
200,1396862319.954,214585395
200,1396862418.065,214826705
195,1396776995.409,214826912
195,1396777139.177,214821341
220,1396379128.906,214821371
220,1396379175.995,214534704
220,1396379426.453,214819378
220,1396379554.791,214819378
220,1396379641.423,214821022
220,1396379828.799,214826715
220,1396379880.634,214840378
220,1396379956.14,214710309
220,1396380300.453,214832653
220,1396380387.052,214717007
220,1396380473.094,214717005
220,1396380491.932,214717007
220,1396380553.955,214716939
215,1396347083.524,214791635
215,1396347111.079,214819526
215,1396347164.315,214717498
215,1396347332.817,214554585
215,1396347467.757,214639612
215,1396347478.409,214600989
210,1396896413.867,214691426
210,1396896440.733,214691428
210,1396896571.021,214691383
230,1396529796.071,214821020
230,1396529963.751,214821020
230,1396530013.489,214821020
230,1396530077.138,214821020
230,1396530099.051,214821020
225,1396556265.289,214826874
225,1396556350.42,214510854
225,1396556608.98,214709645
255,1396510545.539,214826747
255,1396510929.601,214536412
250,1396468081.005,214587384
250,1396468792.342,214587384
245,1396640319.053,214716973
245,1396640439.899,214716937
245,1396640458.531,214716939
245,1396640482.149,214716977
245,1396640538.418,214716973
245,1396640554.129,214716973
245,1396640738.114,214716928
240,1396538150.894,214684513
240,1396538521.462,214716973
275,1396343152.459,214551911
275,1396343317.23,214551911
275,1396343838.15,214551911
275,1396343858.406,214551911
285,1396817886.469,214840762
285,1396818222.938,214840762
260,1396504610.767,214821037
260,1396504690.09,214821386
270,1396341623.166,214507331
270,1396341681.682,214708372
305,1396627277.839,214821277
305,1396628269.804,214820255
310,1396502591.466,214819552
310,1396502637.112,214819552
310,1396502641.25,214717888
310,1396502660.803,214832557
310,1396502687.75,214717888
310,1396502712.48,214832557
310,1396502714.273,214717888
290,1396548576.862,214826702
290,1396548620.141,214826801
295,1396365596.363,214509000
295,1396365670.956,214509000
295,1396365719.867,214601049
295,1396365755.745,214601049
295,1396365758.539,214509000
295,1396365818.38,214509000
295,1396365849.189,214509000
300,1396434845.653,214743497
300,1396434873.905,214557223
350,1396684233.227,214748300
350,1396684255.725,214748295
345,1396437358.372,214819427
345,1396437429.222,214821022
