SessionID,Time,ItemID
3,1396444666.94,214716935
3,1396445412.318,214832672
6,1396803500.848,214701242
6,1396803746.976,214826623
7,1396420733.104,214826835
7,1396420745.854,214826715
8,1396774198.728,214838855
8,1396774332.647,214838855
9,1396783584.127,214576500
9,1396783734.654,214576500
9,1396783753.479,214576500
11,1396521875.672,214821275
11,1396521901.674,214821275
11,1396521929.873,214821371
11,1396521972.162,214821371
11,1396522017.355,214821371
11,1396522402.572,214717089
11,1396522429.875,214563337
11,1396522519.267,214706462
11,1396522590.52,214743335
11,1396522639.331,214826837
11,1396522659.433,214819762
12,1396434613.176,214717867
12,1396434792.621,214717867
13,1396795813.638,214836761
13,1396795974.363,214684513
13,1396795998.268,214836761
14,1396346941.362,214577732
14,1396347074.773,214587013
14,1396347156.482,214577732
17,1396784054.289,214826897
17,1396784056.193,214820441
16,1396703281.626,214684093
16,1396703319.897,214684093
16,1396704053.092,214684093
18,1396329972.539,214577732
18,1396329992.156,214577732
23,1396597398.598,214718203
23,1396597744.634,214718203
23,1396597746.376,214718203
23,1396598208.356,214718203
22,1396747745.969,214837485
22,1396747836.821,214837485
22,1396747860.419,214837485
22,1396747911.443,214837487
22,1396747938.33,214837487
22,1396748118.266,214821315
22,1396748132.915,214586711
22,1396748192.105,214821305
22,1396748208.172,214821307
22,1396748228.202,214844357
22,1396748239.052,214821341
22,1396748250.7,214821309
22,1396748293.259,214551617
22,1396748498.028,214551617
22,1396748716.708,214612920
22,1396748871.889,214837487
24,1396738107.233,214613743
24,1396738108.756,214613743
24,1396738145.756,214539110
24,1396738146.722,214539110
26,1396802575.741,214579288
26,1396802698.482,214714790
26,1396802711.344,214676070
26,1396802779.569,214601407
29,1396460527.324,214532036
29,1396460844.821,214700432
28,1396711535.032,214836789
28,1396711631.668,214836789
31,1396341364.146,214537967
31,1396341497.758,214537967
33,1396807990.756,214834865
33,1396808027.162,214571188
33,1396808029.398,214571188
33,1396808029.925,214571188
33,1396808125.464,214820225
33,1396808125.792,214820225
33,1396808126.502,214820225
33,1396808155.366,214820225
33,1396808159.004,214820225
33,1396808159.531,214820225
33,1396808199.682,214820225
33,1396808213.065,214820225
33,1396808253.199,214706441
33,1396808270.144,214706441
33,1396808271.419,214706441
33,1396808272.049,214706441
39,1396387260.46,214684721
39,1396387304.551,214680356
36,1396814418.669,214551594
36,1396814490.08,214586970
37,1396628767.882,214826769
37,1396628803.356,214537967
42,1396802969.034,214819745
42,1396803072.544,214819745
43,1396684450.194,214691587
43,1396684558.886,214587915
41,1396773278.902,214821277
41,1396773280.247,214821277
41,1396773298.28,214821277
41,1396773400.343,214821277
41,1396773401.495,214821277
46,1396505218.17,214716932
46,1396505239.921,214716932
46,1396505290.956,214716932
46,1396508774.731,214716932
46,1396508789.704,214716932
46,1396508804.157,214716932
47,1396451237.566,214712235
47,1396451257.654,214581489
47,1396451287.492,214602605
51,1396375531.791,214545935
51,1396375604.207,214819438
51,1396375650.896,214839907
51,1396375738.886,214835917
54,1396337587.173,214819468
54,1396338028.688,214716977
54,1396338106.683,214716977
54,1396338114.239,214716977
54,1396338136.709,214716977
54,1396338196.726,214716939
52,1396465753.273,214716982
52,1396466927.335,214716984
59,1396815760.046,214844248
59,1396815761.522,214844248
58,1396435643.796,214515834
58,1396435709.638,214515830
57,1396385455.024,214717318
57,1396385754.817,214717318
56,1396542703.555,214832557
56,1396542799.319,214559660
56,1396542975.132,214559660
56,1396542976.62,214819520
63,1396700465.172,214587797
63,1396700465.212,214835775
62,1396798954.618,214714794
62,1396798980.299,214601407
62,1396799091.971,214826619
