SessionID,Time,ItemID
1,1396867869.277,214536502
1,1396868086.998,214536506
2,1396878997.614,214662742
2,1396879039.373,214662742
2,1396879117.446,214825110
2,1396879190.71,214757390
2,1396879238.247,214757407
2,1396879356.889,214551617
4,1396872550.948,214836765
4,1396873585.416,214706482
21,1396861288.552,214838503
21,1396861419.903,214838503
21,1396861440.598,214838503
21,1396861569.115,214838503
21,1396861662.212,214838503
21,1396862470.012,214548744
27,1396856412.65,214827028
27,1396856473.815,214827017
27,1396856801.444,214537796
27,1396857003.502,214840762
27,1396857222.034,214707930
27,1396857298.054,214707930
27,1396857507.568,214536197
27,1396857544.113,214536195
27,1396857711.327,214646169
34,1396880997.726,214718246
34,1396881202.86,214826835
44,1396849890.888,214820441
44,1396849944.351,214826897
44,1396850027.689,214826702
44,1396850089.212,214684513
44,1396850162.52,214838100
44,1396850474.185,214544357
44,1396850555.049,214551626
44,1396850679.757,214691484
69,1396866519.441,214827022
69,1396866572.058,214840419
87,1396851548.914,214652220
87,1396851560.979,214840483
87,1396851568.762,214840483
87,1396851961.516,214717286
87,1396851975.176,214558807
87,1396851992.159,214821300
87,1396852010.136,214826908
87,1396852019.987,214826908
87,1396852028.677,214826908
87,1396852081.564,214819430
87,1396852090.111,214819430
87,1396852113.431,214826837
87,1396852121.85,214826837
87,1396852145.905,214820392
87,1396852155.64,214820392
87,1396852337.309,214586694
87,1396852347.727,214819376
87,1396852369.233,214553844
87,1396852497.84,214601229
87,1396853238.219,214555500
87,1396853254.388,214695127
87,1396853266.542,214819760
87,1396853438.087,214717850
87,1396853449.482,214718385
87,1396853461.526,214743369
87,1396853468.839,214743369
93,1396876272.238,214819685
93,1396876306.644,214839907
93,1396876392.656,214839905
93,1396876449.881,214811752
102,1396840484.923,214829737
102,1396840648.024,214821315
99,1396861909.603,214826799
99,1396861956.843,214827005
99,1396862053.208,214718390
99,1396862101.504,214718396
99,1396862279.263,214826627
104,1396895402.454,214829741
104,1396895464.993,214820842
104,1396895505.755,214821279
104,1396895603.598,214703790
116,1396860657.912,214821315
116,1396860709.282,214821305
141,1396894355.794,214821275
141,1396894407.129,214827032
146,1396867827.969,214820252
146,1396868036.358,214582502
146,1396868059.678,214836802
146,1396868089.037,214672963
184,1396884344.861,214840762
184,1396884584.789,214575088
184,1396884760.774,214550259
191,1396871388.178,214839373
191,1396871425.102,214836765
191,1396871458.628,214838100
204,1396869739.132,214826837
204,1396869771.495,214819430
207,1396896960.868,214826900
207,1396896979.738,214826900
207,1396897198.414,214664919
207,1396897318.299,214826900
198,1396878445.615,214826803
198,1396878468.528,214826803
198,1396880476.153,214826803
223,1396897002.948,214821300
223,1396897014.404,214690110
223,1396897059.065,214753515
209,1396868733.921,214827022
209,1396868828.263,214836341
237,1396865397.508,214833802
237,1396866312.487,214843494
237,1396866771.91,214696802
237,1396866792.164,214840599
229,1396890849.665,214539039
229,1396890911.812,214539084
274,1396894767.211,214745317
274,1396896742.928,214745317
259,1396862174.08,214819490
259,1396862295.917,214828987
259,1396862328.124,214684845
259,1396862353.395,214826912
256,1396880196.706,214826998
256,1396880277.517,214826998
256,1396880305.346,214748334
256,1396880314.007,214826934
264,1396852899.744,214826955
264,1396853484.441,214826623
264,1396853581.074,214827000
264,1396853608.475,214811739
264,1396853620.79,214650626
264,1396853663.866,214650626
264,1396853743.064,214827005
264,1396853781.993,214834865
264,1396853790.384,214577518
304,1396874932.838,214510044
304,1396874962.014,214582387
304,1396875006.623,214510044
